Team,year,G,TRB,AST,STL,BLK,TOV,PF,PTS
Denver Nuggets,22-23,20,44.8,25.8,6.9,4.2,11.6,19.3,113.5
Golden State Warriors,21-22,22,43.9,27,7.7,5,14.5,21.5,111.9
Milwaukee Bucks,20-21,23,49,22.8,7.8,4.2,12.7,18,110.3
Los Angeles Lakers,19-20,21,44.1,25.6,8,5.3,15.4,22.7,112.8
Toronto Raptors,18-19,24,42.3,22.5,8,4.6,11.5,22.6,106.6
Golden State Warriors,17-18,21,45,26,7.9,5.8,12.9,19.7,110.4
Golden State Warriors,16-17,17,45.8,28.2,8.7,6.1,13.6,21.8,119.3
Cleveland Cavaliers,15- 16,21,43.3,21.2,7.8,4.2,12.5,19.6,104.8
Golden State Warriors,14-15,21,45.6,24.5,8,5.8,14.6,22.4,103.3
San Antonio Spurs,13-14,23,42,22.2,8.1,3.5,12.6,19.8,106.3
Miami Heat,12- 13,23,38.1,20.6,8.3,5.4,12.1,22.2,97.1
Miami Heat,11- 12,23,40.4,17.5,7.3,5,13,20.6,97.3
Dallas Mavericks,10- 11,21,38.4,20.1,7.1,4.1,12.9,20.1,98.2
Los Angeles Lakers,09- 10,23,42.9,19.7,6.7,6.2,12.5,23.2,101.1
Los Angeles Lakers,08- 09,23,42,19.4,7.9,6.3,13,23.5,102.4
Boston Celtics,07- 08,26,40,21.5,7.6,4.3,12.8,24.3,94
San Antonio Spurs,06- 07,20,40.6,19.9,7.1,5.5,13.9,20.5,95.7
Miami Heat,05- 06,23,42,17.5,7,4.6,15.5,24,96.3
San Antonio Spurs,04- 05,23,42.1,18.4,5.6,5.8,14.5,21.9,96.9
Detriot Pistons,03- 04,23,44.8,19.4,8,7.1,14.9,22.5,87.1
San Antonio Spurs,02- 03,24,45.5,20.7,7.8,6.9,15.2,21.4,94.8
TOTAL AVG,n/a,23.25,45.13,23.025,7.965,5.495,14.11,22.58,108.005
