Team,year,TRB,AST,STL,BLK,TOV,PF,PTS
Denver Nuggets,22-23,43,28.9,7.5,4.5,14.5,18.6,115.8
Golden State Warriors,21-22,45.5,27.1,8.8,4.5,14.9,21,111
Milwaukee Bucks,20-21,48.1,25.5,8.1,4.6,13.8,17.3,120.1
Los Angeles Lakers,19-20,45.7,25.4,8.6,6.6,15.2,20.7,113.4
Toronto Raptors,18-19,45.2,25.4,8.3,5.3,14,21,114.4
Golden State Warriors,17-18,43.5,29.3,8,7.5,15.4,19.6,113.5
Golden State Warriors,16-17,44.4,30.4,9.6,6.8,14.8,19.3,115.9
Cleveland Cavaliers,15- 16,44.5,22.7,6.7,3.9,13.6,20.3,104.3
Golden State Warriors,14-15,44.7,27.4,9.3,6,14.5,19.9,110
San Antonio Spurs,13-14,43.3,25.2,7.4,5.1,14.4,18.2,105.4
Miami Heat,12- 13,38.6,23,8.7,5.4,13.9,18.7,102.9
Miami Heat,11- 12,41.6,20,8.9,5.4,15.2,19.4,98.5
Dallas Mavericks,10- 11,41.7,23.4,7.6,5.5,12.9,19.1,102
Los Angeles Lakers,09- 10,44.3,21.1,7.5,4.9,13.4,19.4,101.7
Los Angeles Lakers,08- 09,43.9,23.3,8.8,5.1,13.5,20.7,106.9
Boston Celtics,07- 08,42,22.4,8.5,4.6,15.2,22.7,100.5
San Antonio Spurs,06- 07,40.7,22.1,7.2,5.1,13.9,19.4,98.5
Miami Heat,05- 06,43.1,20.6,6.4,5.4,14.5,22.8,99.9
San Antonio Spurs,04- 05,42.4,21.6,7.5,6.6,13.7,20.9,96.2
Detriot Pistons,03- 04,42.8,20.8,8,7,15.1,20.3,90.1
San Antonio Spurs,02- 03,42.6,20,7.7,6.5,15.8,20.4,95.8
TOTAL AVG,n/a,45.58,25.28,8.455,5.815,15.11,20.985,110.84
