Rk,Player,Age,Team,Pos,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,OWS,DWS,WS,WS/48,BPM,VORP,PER,Salary
174,A.J. Green,23,MIL,SG,35,9.9,1.3,0.6,0.2,0,0.3,0.9,4.4,121,115,0.5,0.3,0.8,0.111,-0.9,0.1,11.5,20690909
284,A.J. Lawson,22,2TM,SG,15,7.2,1.4,0.1,0.1,0,0.2,0.7,3.7,112,118,0.1,0.1,0.1,0.063,-4.4,-0.1,13.9,1968175
169,Aaron Gordon,27,DEN,PF,68,30.2,6.6,3,0.8,0.8,1.4,1.9,16.3,124,115,4.6,2.2,6.8,0.158,2.1,2.1,19.5,3804360
213,Aaron Holiday,26,ATL,PG,63,13.4,1.2,1.4,0.6,0.2,0.6,1.3,3.9,110,117,0.3,0.6,0.9,0.053,-2,0,9.4,1563518
358,Aaron Nesmith,23,IND,SF,73,24.9,3.8,1.3,0.8,0.5,1,3.2,10.1,111,119,0.9,1.1,2,0.052,-3,-0.4,10.5,877940
512,Aaron Wiggins,24,OKC,SG,70,18.5,3,1.1,0.6,0.2,0.8,1.6,6.8,119,116,1.4,1.2,2.6,0.097,-2.1,0,12.2,508891
433,Admiral Schofield,25,ORL,PF,37,12.2,1.7,0.8,0.2,0.1,0.4,1.6,4.2,120,117,0.5,0.3,0.8,0.089,-2.9,-0.1,10.1,3536160
182,AJ Griffin,19,ATL,SF,72,19.5,2.1,1,0.6,0.2,0.6,1.2,8.9,116,119,1.3,0.9,2.2,0.075,-0.8,0.4,12.6,371432
217,Al Horford,36,BOS,C,63,30.5,6.2,3,0.5,1,0.6,1.9,9.8,133,112,3.6,2.7,6.3,0.157,3.3,2.5,13.8,26500000
72,Alec Burks,31,DET,SG,51,22,3.1,2.2,0.7,0.2,1.1,1.9,12.8,120,119,1.9,0.6,2.5,0.109,1.2,0.9,16.5,10012800
387,Aleksej Pokusevski,21,OKC,PF,34,20.6,4.7,1.9,0.6,1.3,1.3,1.7,8.1,105,112,0,1,1,0.066,0,0.3,13.4,3261480
86,Alex Caruso,28,CHI,PG,67,23.5,2.9,2.9,1.5,0.7,1.1,2.4,5.6,115,109,1,2.6,3.6,0.109,1.1,1.2,11.5,9030000
287,Alex Len,29,SAC,C,26,6.2,2.3,0.5,0.2,0.4,0.6,1.1,1.7,109,112,0.1,0.2,0.3,0.085,-4,-0.1,12.8,3918600
242,Alize Johnson,26,SAS,PF,4,7.5,2.5,0.3,0.3,0,1,0.8,1.8,74,117,-0.1,0,-0.1,-0.099,-9.1,-0.1,4.3,192293
515,Alondes Williams,23,BRK,SG,1,5,1,0,0,0,2,1,0,0,117,-0.1,0,-0.1,-0.517,-26.5,0,-20.9,254446
437,Alperen ?engün,20,HOU,C,75,28.9,9,3.9,0.9,0.9,2.6,3.4,14.8,118,117,3.4,1.8,5.2,0.115,1.4,1.9,19.7,3375360
95,Amir Coffey,25,LAC,SF,50,12.5,1.1,1.1,0.1,0.1,0.4,1,3.4,108,120,0.1,0.3,0.4,0.033,-5,-0.5,7,3395062
133,Andre Drummond,29,CHI,C,67,12.7,6.6,0.5,0.7,0.4,1.1,1.7,6,113,103,0.8,2,2.8,0.159,-0.8,0.3,20.8,3200000
227,Andre Iguodala,39,GSW,PF,8,14.1,2.1,2.4,0.5,0.4,1.1,1.4,2.1,102,114,0,0.1,0.1,0.044,-2.5,0,7.3,2905851
357,Andrew Nembhard,23,IND,SG,75,27.6,2.7,4.5,0.9,0.2,1.7,2.4,9.5,108,120,0.4,0.8,1.2,0.029,-3.2,-0.6,10,2244111
513,Andrew Wiggins,27,GSW,SF,37,32.2,5,2.3,1.2,0.8,1.3,2.9,17.1,113,114,1,1.3,2.3,0.091,-0.5,0.5,14.7,33616770
447,Anfernee Simons,23,POR,SG,62,35,2.6,4.1,0.7,0.2,2.1,2.3,21.1,113,123,2.1,0.3,2.5,0.054,-1.1,0.5,14.8,22321429
110,Anthony Davis,29,LAL,C,56,34,12.5,2.6,1.1,2,2.2,2.6,25.9,124,108,5.5,3.4,9,0.226,6.3,4,27.8,37980720
140,Anthony Edwards,21,MIN,SG,79,36,5.8,4.4,1.6,0.7,3.3,2.4,24.6,106,113,0.2,3.6,3.8,0.064,1,2.1,17.4,10733400
165,Anthony Gill,30,WAS,PF,59,10.6,1.7,0.6,0.1,0.2,0.3,1.2,3.3,127,119,1,0.4,1.3,0.101,-3.3,-0.2,11.1,1836090
279,Anthony Lamb,25,GSW,SF,62,19.3,3.5,1.5,0.5,0.3,0.9,2.2,6.7,119,115,1.2,1.2,2.4,0.096,-1.1,0.3,10.9,694878
406,Austin Reaves,24,LAL,SG,64,28.8,3,3.4,0.5,0.3,1.5,1.7,13,129,117,4.1,1.4,5.4,0.142,0.7,1.2,14.9,1563518
414,Austin Rivers,30,MIN,SG,52,19.5,1.6,1.4,0.5,0.1,0.4,1.5,4.9,115,117,0.5,0.8,1.3,0.061,-2.8,-0.2,7.4,2905851
128,Ayo Dosunmu,23,CHI,SG,80,26.2,2.8,2.6,0.8,0.3,1.2,2.3,8.6,109,115,0.7,2.2,2.9,0.067,-2.5,-0.2,10.2,1563518
3,Bam Adebayo,25,MIA,C,75,34.6,9.2,3.2,1.2,0.8,2.5,2.8,20.4,115,111,3.6,3.8,7.4,0.137,1.5,2.3,20.1,30351780
444,Ben Simmons,26,BRK,PG,42,26.3,6.3,6.1,1.3,0.6,2.3,3.3,6.9,110,110,0.5,1.7,2.2,0.097,0.4,0.7,13.4,35448672
314,Bennedict Mathurin,20,IND,SG,78,28.5,4.1,1.5,0.6,0.2,1.9,2.1,16.7,109,121,1,0.8,1.8,0.038,-3.7,-1,13.1,6586800
43,Bismack Biyombo,30,PHO,C,61,14.3,4.3,0.9,0.3,1.4,0.8,1.9,4.3,109,108,0.2,1.6,1.9,0.102,-0.9,0.2,14.4,2905851
183,Blake Griffin,33,BOS,C,41,13.9,3.8,1.5,0.3,0.2,0.5,1.8,4.1,127,111,1,0.8,1.8,0.153,0.1,0.3,13.1,2905851
506,Blake Wesley,19,SAS,SG,37,18.1,2.2,2.6,0.7,0.1,1.8,1.8,5,80,120,-1.9,0.3,-1.6,-0.114,-9.6,-1.3,3.5,2385480
306,Boban Marjanovi?,34,HOU,C,31,5.5,1.9,0.3,0.2,0.1,0.5,0.3,3.3,127,117,0.4,0.1,0.6,0.158,1.6,0.2,23.4,4101478
392,Bobby Portis,27,MIL,PF,70,26,9.6,1.5,0.4,0.2,1.2,1.6,14.1,117,110,2.5,2.8,5.3,0.139,0.7,1.2,17.8,10843350
45,Bogdan Bogdanovi?,30,ATL,SG,54,27.9,3.1,2.8,0.8,0.3,1.2,1.6,14,117,118,1.8,1,2.8,0.088,0.5,0.9,14.2,18000000
46,Bojan Bogdanovi?,33,DET,PF,59,32.1,3.8,2.6,0.6,0.1,2.3,1.9,21.6,118,122,3.1,0.4,3.5,0.09,0.8,1.4,17.4,19550000
47,Bol Bol,23,ORL,PF,70,21.5,5.8,1,0.4,1.2,1.6,1.3,9.1,106,111,0,2.2,2.3,0.072,-0.9,0.4,14.4,2200000
225,Bones Hyland,22,2TM,PG,56,19.4,2.4,3.1,0.7,0.3,1.5,1.7,11.8,107,115,0.3,1.1,1.4,0.062,-0.8,0.3,14.9,2201520
35,Bradley Beal,29,WAS,SG,50,33.5,3.9,5.4,0.9,0.7,2.9,2.1,23.2,114,117,2.2,1.2,3.4,0.099,1.8,1.6,19.7,43279250
92,Brandon Clarke,26,MEM,PF,56,19.5,5.5,1.3,0.6,0.7,1,2.3,10,131,109,2.7,1.8,4.5,0.199,2.5,1.3,20,4343919
229,Brandon Ingram,25,NOP,SF,45,34.2,5.5,5.8,0.7,0.4,3.3,2.6,24.7,112,114,1.8,1.7,3.5,0.108,1.7,1.5,19.2,31650600
266,Braxton Key,25,DET,SF,3,3,0.3,0,0,0,0,0,1.3,227,124,0,0,0,0.242,2.9,0,18.6,201802
297,Brook Lopez,34,MIL,C,78,30.4,6.7,1.3,0.5,2.5,1.4,2.6,15.9,122,109,4.1,3.9,8,0.161,2.1,2.5,18.4,13906976
62,Bruce Brown,26,DEN,SF,80,28.5,4.1,3.4,1.1,0.6,1.5,2.4,11.5,113,114,1.7,2.6,4.3,0.09,-0.5,0.9,13.3,6479000
145,Bruno Fernando,24,2TM,C,39,10.4,3.5,0.8,0.2,0.9,0.6,1.9,3.9,118,115,0.5,0.4,0.9,0.109,-2,0,16.6,2717391
326,Bryce McGowens,20,CHO,SG,46,17.1,2,1.2,0.3,0.1,0.9,1,5.3,100,119,-0.4,0.4,0.1,0.005,-6,-0.8,7.2,1461055
149,Bryn Forbes,29,MIN,SG,25,10.7,0.6,0.7,0.3,0.1,0.5,0.9,3.6,99,118,-0.2,0.2,0,0,-6.3,-0.3,6.2,2298385
44,Buddy Boeheim,23,DET,SF,10,9,0.6,0.4,0.2,0,0,0.6,1.6,77,123,-0.2,0,-0.2,-0.091,-9.5,-0.2,0.5,508891
209,Buddy Hield,30,IND,SF,80,31,5,2.8,1.2,0.3,1.7,2,16.8,115,118,2.7,1.6,4.4,0.085,1.9,2.4,15.4,21177750
106,Cade Cunningham,21,DET,PG,12,33.3,6.2,6,0.8,0.6,3.3,2.8,19.9,100,119,-0.4,0.2,-0.1,-0.018,-0.7,0.1,14,10552800
220,Caleb Houstan,20,ORL,SF,51,15.9,1.9,0.6,0.2,0.1,0.4,1.2,3.8,108,118,0.1,0.5,0.7,0.039,-4,-0.4,6.2,2000000
309,Caleb Martin,27,MIA,SF,71,29.3,4.8,1.6,1,0.4,1.1,2,9.6,113,113,1.2,2.5,3.7,0.086,-1.2,0.4,11.4,6479000
407,Cam Reddish,23,2TM,SF,40,24.8,2.2,1.4,1,0.4,1.2,1.8,9.7,109,118,0.3,0.7,0.9,0.046,-3.4,-0.4,10.6,5954454
470,Cam Thomas,21,BRK,SG,57,16.6,1.7,1.4,0.4,0.1,1.1,1,10.6,108,118,0.3,0.7,1,0.049,-2.7,-0.2,14.7,2138160
