packet_size,transmission_time,latency,jitter,packet_loss,network_load,throughput,bandwidth_usage,encryption_time,decryption_time,key_size,block_size,cpu_usage,memory_usage,encryption_strength,error_rate,integrity_check_time,retransmission_count,packet_order,traffic_type
1499,49.78625385,24.02423935,8.025099734,1.402302434,73.73469169,566.684617,24.22964557,1.866658666,9.260031609,192,64,29.7829345,515.7692699,1,0.2922832002,0.9990245264,4,1,2
1497,24.24730979,68.66001422,7.97507302,4.702317594,29.02565178,151.2135264,31.85263331,5.969589701,3.077168545,192,64,27.59760033,840.4104414,5,1.356966544,1.306380259,2,0,2
1495,9.065364411,11.67747319,6.451813561,1.288829434,66.40355775,559.8470059,64.56822474,9.227918437,3.02657069,128,64,11.36179393,561.6114876,1,1.518694452,3.738125306,0,1,2
1490,10.06109458,63.61474804,3.189982707,1.07843157,39.10416867,453.7785694,75.06547172,7.283249039,4.129314602,128,32,56.6462155,942.5948484,2,1.24764098,3.087699752,0,0,2
1488,27.69383912,96.82900988,8.692848022,0.02939784671,44.61182597,761.2266689,47.02081696,3.277247341,9.231588761,256,64,74.63349613,103.1564366,8,1.495152123,4.486860702,3,0,2
1487,31.58779611,97.76487182,5.887757888,3.482211045,69.43882587,120.7126143,45.11305851,0.9639407715,2.550972321,128,128,23.64554855,482.1162123,6,1.126340906,0.8218246732,2,1,2
1487,26.24995421,52.49811064,4.16411474,3.780082912,78.1899278,951.1759052,42.00324141,6.18469991,2.045828052,256,64,48.20863461,103.1481607,3,0.344891057,0.2131903589,2,0,2
1485,1.514188416,61.16189445,2.612596661,3.368812746,25.36078212,129.4230463,37.01276147,1.861987946,7.862733588,256,128,53.07844609,570.5125742,6,0.5565174148,3.724983625,2,1,2
1483,31.60853474,2.35958562,1.829526339,4.30262613,79.981709,848.0134285,35.26008281,2.870250059,1.041248493,192,32,50.72053213,895.8141517,6,0.1541965033,1.659233599,3,1,2
1482,45.67456797,70.96513913,2.000720307,1.427938399,23.12666282,289.8121526,42.49459028,8.263069243,3.463133246,192,64,68.87056735,162.0941823,3,1.556743695,1.531800739,2,1,2
1477,25.36544044,96.15070853,8.373356613,1.773599029,77.65144963,7.387358324,36.62364353,9.602774533,6.273389193,192,16,84.57117051,754.335602,6,1.766235649,3.45886289,2,0,2
1476,49.2175442,69.27421345,6.299176584,3.652333506,42.8468239,401.7639952,28.79154919,9.614278458,1.12661517,256,64,40.61109283,301.8839275,6,1.728136659,4.801336702,0,0,2
1476,47.74807099,85.93379015,7.737156891,4.468937135,66.8335841,426.6591784,26.52609389,5.878773772,1.181909842,256,64,28.11123228,156.012695,2,1.903475394,2.66930827,1,0,2
1475,48.90190806,50.42504784,1.129723297,1.424841329,41.59683421,908.9659015,40.72694804,1.942625143,9.751840763,192,32,56.12658956,378.5842649,7,0.3183153389,3.333399001,3,1,2
