packet_size,transmission_time,latency,jitter,packet_loss,network_load,throughput,bandwidth_usage,encryption_time,decryption_time,key_size,block_size,cpu_usage,memory_usage,encryption_strength,error_rate,integrity_check_time,retransmission_count,packet_order,traffic_type
897,41.49791642,33.83412657,0.184835187,4.047936354,55.00811939,77.95521591,73.13742353,4.861100103,7.491613964,192,16,18.45113427,678.1399407,1,1.607607941,3.028163708,0,1,1
1414,22.86385983,72.58265542,0.5732171256,2.76822609,54.76919539,796.6731583,62.11722664,9.662881418,0.55563483,128,64,56.93733962,358.2773429,8,0.2814447216,3.350382031,3,1,1
824,40.4863821,51.26746303,1.995784758,4.233274568,23.29722415,919.5018947,62.50333809,8.392460295,4.847785089,256,32,19.90868852,228.5859334,10,1.335790506,3.857301098,3,1,1
1288,1.390255833,50.41175715,1.756283662,2.59275878,32.49224113,60.3826462,51.12784925,2.084521321,6.509433818,192,128,21.95342215,707.7804326,6,1.491288589,1.016296842,0,1,1
104,46.30349171,11.90408601,1.893825149,3.019236826,51.70672686,402.2697174,70.41824249,8.085648945,4.591752938,128,128,71.76936782,505.2921293,4,0.1025490798,0.5702572639,0,0,1
950,22.72201897,39.56208657,6.75224447,2.186916212,32.17450917,988.3671342,35.26548831,2.193843168,1.698985347,256,32,70.05536469,311.652731,6,0.1770870152,3.287249605,2,1,1
177,28.11562921,24.86537024,4.64888468,4.115477901,26.82262342,599.6396196,74.44107629,1.238768164,7.893373919,128,64,77.42182075,223.8651996,2,1.126035391,2.549481183,3,1,1
673,13.4892302,2.553894654,9.918610896,4.619136032,17.02048446,514.0638247,58.2065513,8.452286139,3.577467547,128,32,18.45881092,622.431635,1,0.7483009875,4.39086091,3,0,1
231,37.38401081,36.64986345,2.346170557,3.195723691,22.45808095,178.2687013,46.32253409,9.771616028,1.780177736,256,32,25.85159049,752.9949462,6,1.398782468,2.713003516,0,1,1
700,4.755154517,9.892390813,3.177218,4.103912246,71.509421,565.9207971,78.9313942,1.337126173,5.72752524,192,128,76.63691439,355.4982659,8,1.115376662,2.279623977,2,1,1
1165,43.75915432,26.42617373,9.843983096,0.29501667,67.50233445,439.6042172,71.72084641,8.232286324,0.6821297969,256,16,67.6870087,761.6282818,5,0.06204321541,2.491336244,4,0,1
188,41.57772462,10.1591455,8.334405594,4.530558757,13.66669475,128.3156125,66.32126077,8.662520162,3.578605062,256,16,74.47649023,264.8099789,8,1.36735709,3.93337642,2,0,1
501,11.5869457,10.99322093,4.751012285,0.9446253342,26.26272683,464.86832,36.43414826,1.628178051,7.631102511,256,16,89.17965399,404.574122,3,0.407835993,0.1896954756,2,1,1
395,40.65689552,20.70211815,5.590509167,1.282602137,54.83642774,165.2349059,78.42444203,3.190907982,9.170757629,192,16,79.15452849,770.3940581,6,0.6251996907,4.599236073,3,1,1
1418,39.53152892,99.9850752,8.447461414,0.266650341,35.81022754,730.9329581,64.57925017,7.469776071,6.121410865,256,16,51.63706007,694.1291677,1,1.472778653,3.599526308,0,1,1
715,31.97861329,1.216230143,4.861704436,4.827000585,75.85996821,973.6747178,56.31303704,8.173437656,2.567310061,192,128,34.86145478,343.4712642,3,1.542506801,4.437919728,0,1,1
899,19.30248867,64.22859098,2.139634863,4.260054247,72.79914461,470.1074714,75.30795374,3.862754159,2.590001432,128,16,55.57412693,209.9215014,4,0.6916291795,4.802035073,0,1,1
521,14.30343895,14.9831261,8.301600932,4.56592302,81.32644464,632.7359636,29.73090092,2.019329297,6.23678081,192,32,61.08692402,138.2260825,5,0.1784543827,1.20741807,2,0,1
1146,12.35739592,92.14218553,5.423947664,4.236080839,55.03449852,431.5445492,28.34096317,6.659272522,4.364236215,128,128,36.8249713,854.1236619,3,1.539345677,2.933869887,2,1,1
674,16.61183918,10.26965644,1.615121712,2.397652764,38.16611838,139.3153998,53.82280486,7.168701731,2.184010838,128,32,71.674963,167.6277546,8,1.740420373,2.481614258,1,0,1
242,45.27436373,95.55125553,5.105299729,4.62040967,58.48517569,970.5847312,23.4028158,5.284274612,7.980271877,256,16,17.42030341,203.360637,5,1.928624289,2.73433362,4,0,1
1092,4.804398023,61.48171236,4.190713468,4.847364102,17.13093438,130.4490854,59.83921171,1.876940143,2.402308847,192,64,72.35142805,313.9395672,7,0.6356538223,0.331716993,1,1,1
764,41.61469254,1.125539615,8.780741066,2.512834884,10.76688142,112.5151817,34.44446829,8.522624071,3.555587929,128,16,12.55988149,501.1027338,5,0.2477041705,4.578530315,4,1,1
244,18.09561368,89.50671259,1.34794877,0.8781239066,11.36748161,459.7137687,27.14159468,6.630026611,1.083579668,128,128,49.83728486,810.8083722,8,1.875321268,4.777952494,1,1,1
