packet_size,transmission_time,latency,jitter,packet_loss,network_load,throughput,bandwidth_usage,encryption_time,decryption_time,key_size,block_size,cpu_usage,memory_usage,encryption_strength,error_rate,integrity_check_time,retransmission_count,packet_order,traffic_type
1226,43.4529392,40.90009982,0.6583734418,0.8734967571,13.18712727,373.558637,74.33255502,7.247681703,1.177135375,256,32,50.32871422,256.5705419,5,1.021119892,0.405453309,0,1,0
960,11.56096357,63.82109031,8.69614048,1.627024812,89.64525288,480.0173396,52.67084268,4.867057776,4.563834969,192,16,68.01069695,827.4198944,7,0.02606398325,0.8783330874,3,0,0
1394,18.65851318,62.4974459,3.017676984,0.9972016851,58.17967434,197.8380514,46.1831525,3.618133157,9.196199448,128,128,76.14928316,591.3284063,8,0.3612151658,0.9492090612,3,1,0
1230,4.356764925,12.95391695,0.1179391353,3.169077031,88.31534497,680.5662442,44.92978673,5.432144892,5.041593053,256,32,26.30194999,407.4922243,4,0.9952405914,1.711474941,4,0,0
1195,38.39460927,97.71958907,2.315799052,2.845334991,39.20653066,222.2304885,73.28964992,4.559454897,9.154451646,256,32,27.45737884,647.5100011,2,1.505134091,4.173365269,1,0,0
1144,21.0070108,19.50621151,3.470366693,1.912944118,46.64190564,2.255538598,42.02187054,9.815136162,8.262848366,256,32,70.68731649,765.8507128,5,1.645205156,4.295562549,1,0,0
221,38.20318792,45.08212845,9.910763078,1.6291501,70.18891539,933.8283577,71.55001174,5.21358085,9.849777576,192,16,70.26453905,418.9850047,7,0.5665326818,1.937264372,4,1,0
566,45.27678437,49.3236368,5.283061779,1.188071001,73.41603604,306.709226,38.55155596,8.205574763,9.503105178,192,32,14.81466565,519.4673574,4,1.424914485,2.213383854,3,0,0
1338,12.40539421,81.49321692,2.126668081,2.677291545,28.64264427,197.4354104,51.89023907,6.834784949,7.211591056,192,16,35.79985926,157.791895,4,1.657058881,1.163450489,2,0,0
430,40.56240549,10.82373001,3.414701613,4.594513822,84.3840869,268.8785842,28.62918617,5.056458754,8.776564225,128,16,41.88259935,637.3814826,4,0.7496088286,2.219317576,0,0,0
187,3.895600614,43.43578364,3.370046107,3.428515257,79.39384975,331.1172499,69.50181873,5.004425688,7.606738166,256,32,76.32323228,420.766386,9,1.391111725,1.446688719,3,1,0
1496,45.04352202,63.22171485,0.29528489,3.72207357,11.45642425,475.07188,64.15849226,3.747956112,7.182247889,192,128,43.74898043,490.1712828,9,0.8745622747,0.9569249617,3,0,0
1223,32.88765883,22.30040654,1.438312236,4.171889318,20.28544847,70.28231935,51.80558381,1.516327173,7.29781599,192,32,84.07431123,480.3405562,10,1.971304495,0.8764935409,0,1,0
971,43.83710948,63.11932198,6.982444951,1.758174867,49.68776851,53.62048305,21.55407845,7.733958625,7.349914916,256,32,89.72862217,669.1683599,8,0.0133350903,3.900671042,2,1,0
230,1.009231578,92.44281892,1.290484767,0.3143789106,46.87644113,293.6178548,48.87543991,9.221900535,4.104480613,256,16,72.45809326,615.2188141,8,0.8286900793,0.6730373137,0,1,0
1432,9.284972447,99.75429499,2.384269338,3.112794017,66.6712684,296.4703651,33.51179169,2.570571119,4.523842952,128,32,63.31093517,479.895443,7,0.5274328058,3.118568911,4,0,0
869,20.09820998,4.212656602,3.572299254,0.9433614561,17.17691008,118.5285816,44.80245775,9.293898192,3.293676012,128,128,41.35177328,115.2595193,1,1.699473106,0.9206618652,0,0,0
443,19.59564227,24.3232346,7.601575951,2.84521825,61.58842454,405.3868027,71.38558933,2.706890072,1.908475469,128,32,15.36315568,658.8663532,8,0.5742516662,4.205413154,0,1,0
